flat_index,place_index,view_index,place_label,donor_flat_index,donor_place_index,donor_place_label,latitude,longitude,year,month,heading,aligned_confidence_mean,shuffled_confidence_mean,aligned_delta_mean,aligned_delta_abs_mean,aligned_delta_abs_max,shuffled_delta_mean,shuffled_delta_abs_mean,shuffled_delta_abs_max,delta_abs_difference_mean,delta_abs_difference_max,target_abs_difference_mean,target_spatial_correlation,aligned_target_std,shuffled_target_std,selected,selection_reason
44,11,0,231,40,10,778,6.23490899365399,-75.58970824323694,2015.0,1.0,91.0,0.39439547061920166,0.4624851644039154,0.00673724664375186,0.08926506340503693,0.5696002244949341,0.004510368686169386,0.11699546128511429,0.6027732491493225,0.11664588749408722,0.5682752132415771,0.07340212911367416,0.9875006675720215,0.8368517756462097,0.8419381380081177,False,
45,11,1,231,41,10,778,6.23491224310158,-75.58970647959173,2013.0,10.0,282.0,0.4023163318634033,0.4729657769203186,0.009532516822218895,0.10247878730297089,0.7731403708457947,-0.002613450400531292,0.12332303822040558,0.6428401470184326,0.12150706350803375,0.6938552856445312,0.08142586052417755,0.9839602708816528,0.8414923548698425,0.8386266827583313,False,
46,11,2,231,42,10,778,6.234908041841202,-75.58971204293907,2019.0,6.0,107.0,0.40794217586517334,0.4254617393016815,-0.004732935223728418,0.1082770973443985,0.5826863646507263,0.003043348900973797,0.10751904547214508,0.7389053702354431,0.10198439657688141,0.5378366112709045,0.08076784759759903,0.9849511384963989,0.7595426440238953,0.7700852751731873,False,
47,11,3,231,43,10,778,6.234913757755307,-75.5897079466006,2014.0,1.0,268.0,0.4409329295158386,0.4323500096797943,0.00328999781049788,0.08917815238237381,0.44398579001426697,0.0096874525770545,0.1279529631137848,0.7903645038604736,0.1250467449426651,0.4995967149734497,0.11136551201343536,0.9731823205947876,0.8299156427383423,0.8417332172393799,False,
48,12,0,129,44,11,231,6.233027077913945,-75.58549773330735,2019.0,6.0,360.0,0.4078369140625,0.39439547061920166,0.005635639186948538,0.08219356834888458,0.5943443179130554,0.00891764648258686,0.09387744218111038,0.5946363210678101,0.0832471176981926,0.5108973383903503,0.06070196256041527,0.9905656576156616,0.804719865322113,0.7988179922103882,False,
49,12,1,129,45,11,231,6.233016261259978,-75.58549614940972,2013.0,8.0,355.0,0.4415700435638428,0.4023163318634033,0.005296043120324612,0.08224831521511078,0.4450741410255432,0.010853767395019531,0.08948353677988052,0.45210278034210205,0.08043629676103592,0.47788798809051514,0.08954967558383942,0.9827775955200195,0.7990241050720215,0.8021571636199951,False,
50,12,2,129,46,11,231,6.232987747018583,-75.58549458085545,2015.0,1.0,169.0,0.43390703201293945,0.40794217586517334,0.004969955421984196,0.09357882291078568,0.6465514898300171,0.0014717057347297668,0.09539154917001724,0.7992980480194092,0.10377693176269531,0.7334437370300293,0.10069499909877777,0.9710663557052612,0.7782398462295532,0.8039479851722717,False,
51,12,3,129,47,11,231,6.23301035762579,-75.5855142759957,2013.0,5.0,374.0,0.4281647205352783,0.4409329295158386,0.00337880733422935,0.044846393167972565,0.19203099608421326,-0.002161185024306178,0.049479562789201736,0.2851788103580475,0.04505276307463646,0.3210766315460205,0.10670028626918793,0.9726047515869141,0.8090115189552307,0.8062591552734375,False,
52,13,0,503,48,12,129,6.240083652975986,-75.58243386156704,2018.0,12.0,590.0,0.45575201511383057,0.4078369140625,0.0012982466723769903,0.0850507840514183,0.4041481912136078,-0.0033006914891302586,0.08931659162044525,0.5588441491127014,0.08983030170202255,0.43594473600387573,0.061580948531627655,0.9891750812530518,0.798172116279602,0.7892835736274719,False,
53,13,1,503,49,12,129,6.240079049142564,-75.58242968051815,2013.0,5.0,566.0,0.47585156559944153,0.4415700435638428,-0.00527359452098608,0.06593289971351624,0.5056883692741394,0.00013845536159351468,0.06737110763788223,0.3519909083843231,0.07391951233148575,0.43132728338241577,0.07224959135055542,0.9865802526473999,0.8038719892501831,0.8002763390541077,False,
54,13,2,503,50,12,129,6.240079283256978,-75.58247179179531,2015.0,1.0,581.0,0.464813232421875,0.43390703201293945,-0.00455724960193038,0.06189535930752754,0.40445849299430847,-0.0003153173893224448,0.06491351872682571,0.42660602927207947,0.06127166748046875,0.3373698890209198,0.11315915733575821,0.9713406562805176,0.772306501865387,0.7890782952308655,False,
55,13,3,503,51,12,129,6.240082068298359,-75.58248030258211,2014.0,6.0,588.0,0.4593667685985565,0.4281647205352783,0.0021275498438626528,0.06407248973846436,0.4409223198890686,-0.006287770811468363,0.06746065616607666,0.4209033250808716,0.061660587787628174,0.44213128089904785,0.07364902645349503,0.9857730865478516,0.7329937815666199,0.7428305149078369,False,
56,14,0,1001,52,13,503,6.249086689194638,-75.56147511931931,2013.0,6.0,101.0,0.4234955310821533,0.45575201511383057,0.017090534791350365,0.09522151201963425,1.0187069177627563,0.0005115745007060468,0.09738156944513321,0.6888139843940735,0.09605592489242554,1.0720725059509277,0.09247694164514542,0.9787439703941345,0.7688376903533936,0.7752493023872375,False,
57,14,1,1001,53,13,503,6.249055833703941,-75.56148025245285,2013.0,8.0,102.0,0.45529425144195557,0.47585156559944153,0.007330296095460653,0.09874337166547775,0.5701888203620911,-0.0017163340235128999,0.12403149157762527,0.6889668703079224,0.10686025768518448,0.6254541277885437,0.14710527658462524,0.9467123746871948,0.744676947593689,0.7462496757507324,True,top_target_contrast
58,14,2,1001,54,13,503,6.249070931145095,-75.5614480072584,2017.0,6.0,119.0,0.40797269344329834,0.464813232421875,0.0056915199384093285,0.06852404773235321,0.38450196385383606,0.006377254147082567,0.10026833415031433,0.587373673915863,0.09205161035060883,0.7601368427276611,0.07474774122238159,0.9851608872413635,0.800267219543457,0.8009500503540039,False,
59,14,3,1001,55,13,503,6.249068977028123,-75.5614412034737,2019.0,7.0,105.0,0.3976951241493225,0.4593667685985565,0.006760201416909695,0.07771579176187515,0.8726661801338196,-0.0013493633596226573,0.10287438333034515,0.9700412750244141,0.1040477380156517,0.8097297549247742,0.09446514397859573,0.9721947908401489,0.7940390706062317,0.7808489799499512,False,
60,15,0,551,56,14,1001,6.241296905185094,-75.58768503064528,2017.0,8.0,159.0,0.4988820552825928,0.4234955310821533,0.008944472298026085,0.11815644055604935,0.6302664875984192,0.008566178381443024,0.10451491177082062,0.5973962545394897,0.1095106229186058,0.5861008167266846,0.10158208757638931,0.9752175807952881,0.7848043441772461,0.7858361601829529,False,
61,15,1,551,57,14,1001,6.241270672699454,-75.58770584220103,2019.0,6.0,154.0,0.4910433888435364,0.45529425144195557,0.010790776461362839,0.10569825768470764,0.5053033232688904,0.011566761881113052,0.10333520174026489,0.5303666591644287,0.0993574857711792,0.5428695678710938,0.06890398263931274,0.9848859906196594,0.7699487805366516,0.7608864307403564,False,
62,15,2,551,58,14,1001,6.241279606880159,-75.58770717526811,2013.0,9.0,142.0,0.47558221220970154,0.40797269344329834,0.004435264505445957,0.07016172260046005,0.7445082664489746,0.00089126022066921,0.06924687325954437,0.47255170345306396,0.07606847584247589,0.5740994811058044,0.05788151174783707,0.9918808937072754,0.806515097618103,0.8041278719902039,False,
63,15,3,551,59,14,1001,6.241287577838945,-75.58769779620833,2015.0,1.0,153.0,0.49490606784820557,0.3976951241493225,0.006481465417891741,0.09722363203763962,0.4704344868659973,0.01061536930501461,0.1001376062631607,1.0105143785476685,0.1111527681350708,1.3127949237823486,0.07512053102254868,0.9760861992835999,0.7934682369232178,0.8134809732437134,False,
64,16,0,459,60,15,551,6.239094584684769,-75.57359990964873,2013.0,8.0,603.0,0.41697537899017334,0.4988820552825928,-0.0005285497172735631,0.06817749887704849,0.34128883481025696,0.00787261687219143,0.09311112761497498,0.553232729434967,0.07866964489221573,0.5466156601905823,0.07795077562332153,0.9833609461784363,0.8036813735961914,0.8155646920204163,False,
65,16,1,459,61,15,551,6.239083886294885,-75.57363421669608,2013.0,5.0,575.0,0.4037058353424072,0.4910433888435364,0.0035023062955588102,0.059609442949295044,0.5246862173080444,0.0031179834622889757,0.08578348159790039,0.5292530059814453,0.07630577683448792,0.48736661672592163,0.07725027948617935,0.9837482571601868,0.7976568937301636,0.7894782423973083,False,
66,16,2,459,62,15,551,6.239088645777819,-75.57360393129113,2019.0,6.0,413.0,0.4480821192264557,0.47558221220970154,0.00206185900606215,0.06068260967731476,0.3479824364185333,0.006364150904119015,0.07920344173908234,0.6068047285079956,0.07369260489940643,0.5774633884429932,0.11054012179374695,0.9609929323196411,0.7771233916282654,0.7772250175476074,False,
67,16,3,459,63,15,551,6.239074088991553,-75.57360205660571,2017.0,6.0,599.0,0.4167630076408386,0.49490606784820557,-0.00028202301473356783,0.04573424160480499,0.23734302818775177,-0.0033518155105412006,0.06367937475442886,0.4847683608531952,0.052958350628614426,0.3617894947528839,0.0979861244559288,0.9787593483924866,0.7873781323432922,0.7961310148239136,False,
68,17,0,647,64,16,459,6.243044066706085,-75.59771066233968,2013.0,11.0,360.0,0.4247601628303528,0.41697537899017334,-0.002538730390369892,0.05453087389469147,0.25687453150749207,-0.0008579721907153726,0.05769429728388786,0.39938730001449585,0.056961461901664734,0.2888566553592682,0.06426556408405304,0.9887437224388123,0.769328773021698,0.7750952839851379,False,
69,17,1,647,65,16,459,6.243103021994113,-75.59771148109921,2013.0,6.0,341.0,0.5033631324768066,0.4037058353424072,0.00017934368224814534,0.08893970400094986,0.43062958121299744,2.9780578188365325e-05,0.08629525452852249,0.48345112800598145,0.07904038578271866,0.4205991327762604,0.1480569690465927,0.9436283111572266,0.7728649973869324,0.7863733768463135,True,top_target_contrast
70,17,2,647,66,16,459,6.243048651341645,-75.59771769119938,2019.0,3.0,337.0,0.4456731081008911,0.4480821192264557,-0.005199226085096598,0.08874188363552094,0.3800681233406067,0.010562347248196602,0.1008983924984932,0.6620661616325378,0.09092257916927338,0.5563510060310364,0.1127907782793045,0.9598711729049683,0.6812741160392761,0.687839925289154,False,
71,17,3,647,67,16,459,6.243061766120303,-75.59771641956317,2019.0,6.0,351.0,0.45455560088157654,0.4167630076408386,0.0024002892896533012,0.058511748909950256,0.31687015295028687,0.0012636382598429918,0.07568418234586716,0.5192425847053528,0.06625377386808395,0.4027132987976074,0.09388529509305954,0.9763493537902832,0.7172568440437317,0.7226013541221619,False,
72,18,0,923,68,17,647,6.24816737333818,-75.58641401806962,2019.0,7.0,86.0,0.45833852887153625,0.4247601628303528,0.012386895716190338,0.10047651827335358,0.6984797716140747,0.0010865668300539255,0.0937853753566742,0.48441076278686523,0.10234513878822327,0.6848254203796387,0.13633304834365845,0.9560223817825317,0.7857449650764465,0.796398937702179,False,
73,18,1,923,69,17,647,6.248196448420757,-75.58640148792965,2014.0,1.0,95.0,0.3846653401851654,0.5033631324768066,0.004813837353140116,0.0536409392952919,0.2801505923271179,0.008244832046329975,0.08073313534259796,0.6171525120735168,0.0690702348947525,0.5503076314926147,0.15846087038516998,0.9323318600654602,0.7497859597206116,0.7729930877685547,True,top_target_contrast
74,18,2,923,70,17,647,6.248167409516689,-75.5864422428779,2019.0,6.0,95.0,0.4631976783275604,0.4456731081008911,0.00867635291069746,0.08647887408733368,0.5546648502349854,0.002998263342306018,0.08627805858850479,0.4763043224811554,0.08149993419647217,0.39105233550071716,0.09922101348638535,0.9746463894844055,0.7766298055648804,0.7716182470321655,False,
