variant,num_queries,correct@1,r@1,correct@5,r@5,correct@10,r@10,first_positive_rank_mean,margin_mean
ru,740,675,0.9121621621621622,704,0.9513513513513514,711,0.9608108108108108,63.894594594594594,0.16607783734798431
aligned_semantic,740,344,0.4648648648648649,466,0.6297297297297297,507,0.6851351351351351,230.5364864864865,-0.02791859395802021
wrong_layout,740,0,0.0,2,0.002702702702702703,9,0.012162162162162163,2593.1283783783783,-0.40962928533554077
shuffled_teacher,740,301,0.40675675675675677,424,0.572972972972973,470,0.6351351351351351,280.5662162162162,-0.04293987527489662
