mask,transform,composition,flat_index,place_label,aligned_coverage,shuffled_coverage,aligned_zero_active_image,shuffled_zero_active_image,aligned_effective_confidence_mean,shuffled_effective_confidence_mean,aligned_delta_abs_mean,shuffled_delta_abs_mean,aligned_pre_target_std,shuffled_pre_target_std,aligned_target_std,shuffled_target_std,aligned_target_change_from_ru,shuffled_target_change_from_ru,aligned_target_correlation_with_ru,shuffled_target_correlation_with_ru,aligned_saturation_fraction,shuffled_saturation_fraction,pre_transform_pair_difference,target_pair_difference,target_pair_correlation,target_pair_sign_disagreement,pair_difference_amplification
semantic_off,per_image_zscore,production_roundtrip,0,1189,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.25332844257354736,0.25332844257354736,0.7983219027519226,0.7983219027519226,0.1490330547094345,0.1490330547094345,0.9556884169578552,0.9556884169578552,0.32249999046325684,0.32249999046325684,0.0,0.0,0.9999999403953552,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,1,1189,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.31233903765678406,0.31233903765678406,0.8061534762382507,0.8061534762382507,0.10587010532617569,0.10587010532617569,0.9725849032402039,0.9725849032402039,0.3675000071525574,0.3675000071525574,0.0,0.0,1.0,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,2,1189,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.47603949904441833,0.47603949904441833,0.7998290061950684,0.7998290061950684,0.0909140557050705,0.0909140557050705,0.9802171587944031,0.9802171587944031,0.35749998688697815,0.35749998688697815,0.0,0.0,1.0,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,3,1189,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4658374488353729,0.4658374488353729,0.7999259829521179,0.7999259829521179,0.09089813381433487,0.09089813381433487,0.9820783734321594,0.9820783734321594,0.35499998927116394,0.35499998927116394,0.0,0.0,0.9999999403953552,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,4,880,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.37058165669441223,0.37058165669441223,0.7158803939819336,0.7158803939819336,0.10125868022441864,0.10125868022441864,0.9659380316734314,0.9659380316734314,0.3199999928474426,0.3199999928474426,0.0,0.0,1.0,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,5,880,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.32796555757522583,0.32796555757522583,0.789405107498169,0.789405107498169,0.13357791304588318,0.13357791304588318,0.9627785682678223,0.9627785682678223,0.32249999046325684,0.32249999046325684,0.0,0.0,1.0,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,6,880,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4163215756416321,0.4163215756416321,0.7630177140235901,0.7630177140235901,0.10582320392131805,0.10582320392131805,0.9757444858551025,0.9757444858551025,0.30000001192092896,0.30000001192092896,0.0,0.0,1.0000001192092896,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,7,880,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.44872796535491943,0.44872796535491943,0.8011000156402588,0.8011000156402588,0.08412129431962967,0.08412129431962967,0.9826482534408569,0.9826482534408569,0.3474999964237213,0.3474999964237213,0.0,0.0,0.9999998807907104,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,8,909,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5506319999694824,0.5506319999694824,0.7626182436943054,0.7626182436943054,0.12367118895053864,0.12367118895053864,0.9623792171478271,0.9623792171478271,0.375,0.375,0.0,0.0,0.9999998807907104,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,9,909,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5155376195907593,0.5155376195907593,0.7832497954368591,0.7832497954368591,0.10660192370414734,0.10660192370414734,0.9700464606285095,0.9700464606285095,0.38499999046325684,0.38499999046325684,0.0,0.0,0.9999999403953552,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,10,909,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.49791219830513,0.49791219830513,0.7625128030776978,0.7625128030776978,0.1207202896475792,0.1207202896475792,0.9604208469390869,0.9604208469390869,0.3499999940395355,0.3499999940395355,0.0,0.0,1.0000001192092896,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,11,909,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5817772746086121,0.5817772746086121,0.829653799533844,0.829653799533844,0.09204020351171494,0.09204020351171494,0.9781256318092346,0.9781256318092346,0.42500001192092896,0.42500001192092896,0.0,0.0,1.0000001192092896,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,12,285,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3035428524017334,0.3035428524017334,0.8233730792999268,0.8233730792999268,0.10464062541723251,0.10464062541723251,0.9725260734558105,0.9725260734558105,0.375,0.375,0.0,0.0,1.0000001192092896,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,13,285,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3724333345890045,0.3724333345890045,0.8055375814437866,0.8055375814437866,0.0751887634396553,0.0751887634396553,0.9858064651489258,0.9858064651489258,0.41499999165534973,0.41499999165534973,0.0,0.0,1.0,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,14,285,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4588456451892853,0.4588456451892853,0.8332152962684631,0.8332152962684631,0.07343082129955292,0.07343082129955292,0.983142077922821,0.983142077922821,0.4325000047683716,0.4325000047683716,0.0,0.0,1.0000001192092896,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,15,285,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3987763226032257,0.3987763226032257,0.7927935123443604,0.7927935123443604,0.09115206450223923,0.09115206450223923,0.9761719703674316,0.9761719703674316,0.3425000011920929,0.3425000011920929,0.0,0.0,1.0,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,16,748,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6046224236488342,0.6046224236488342,0.7320781946182251,0.7320781946182251,0.12249051779508591,0.12249051779508591,0.9668979048728943,0.9668979048728943,0.30000001192092896,0.30000001192092896,0.0,0.0,0.9999998807907104,0.0,0.0
semantic_off,per_image_zscore,production_roundtrip,17,748,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6354812979698181,0.6354812979698181,0.8040499687194824,0.8040499687194824,0.07329864054918289,0.07329864054918289,0.9860079884529114,0.9860079884529114,0.3125,0.3125,0.0,0.0,1.0000001192092896,0.0,0.0
