step,seg_loss,accuracy,valid_fraction
0,13.435320854187012,0.000215331616345793,0.8707500696182251
1,12.356757164001465,0.0005465277354232967,0.8576875329017639
2,12.001714706420898,0.0008637443534098566,0.8683125376701355
3,11.15819263458252,0.002098802477121353,0.8859218955039978
4,9.658692359924316,0.006162996869534254,0.872140645980835
5,9.652587890625,0.013874473981559277,0.8581406474113464
6,8.539767265319824,0.024553652852773666,0.8559063076972961
7,8.865337371826172,0.023918161168694496,0.8629688024520874
8,7.423412322998047,0.05858999863266945,0.8619219064712524
9,6.555050849914551,0.08802956342697144,0.8667187690734863
10,6.545883655548096,0.09494830667972565,0.8781093955039978
11,5.733456611633301,0.12735290825366974,0.8574844002723694
12,5.481344699859619,0.1347256451845169,0.8693594336509705
13,5.120860576629639,0.13222746551036835,0.8534063100814819
14,4.785921573638916,0.16355961561203003,0.8624531626701355
15,4.089123249053955,0.21136429905891418,0.8626250624656677
16,3.8100874423980713,0.22182011604309082,0.8548594117164612
17,3.3256568908691406,0.28658804297447205,0.8558125495910645
18,2.9767050743103027,0.3552919924259186,0.8773593902587891
19,2.647305727005005,0.4219672977924347,0.8649219274520874
20,2.4718918800354004,0.46148625016212463,0.8515625596046448
21,2.33319091796875,0.48434215784072876,0.8996094465255737
22,2.205331325531006,0.5065613389015198,0.9096875190734863
23,2.079446315765381,0.5404218435287476,0.9141875505447388
24,2.217747688293457,0.541106104850769,0.8989688158035278
25,2.070693016052246,0.548043429851532,0.9107969403266907
26,1.7212907075881958,0.6188304424285889,0.9285156726837158
27,2.1313326358795166,0.5734997391700745,0.8988125324249268
28,1.6233259439468384,0.6366965770721436,0.913062572479248
29,1.6329172849655151,0.6294064521789551,0.9152969121932983
30,1.36814546585083,0.6715057492256165,0.9137812852859497
31,1.408837914466858,0.6527299880981445,0.9126093983650208
32,1.5360195636749268,0.6461734175682068,0.9083281755447388
33,1.500491976737976,0.6511024832725525,0.8921406865119934
34,1.4818699359893799,0.673565149307251,0.9090156555175781
35,1.2276760339736938,0.6890454888343811,0.9067344069480896
36,1.3114432096481323,0.6879464387893677,0.9144062995910645
37,1.0544688701629639,0.7201260924339294,0.9168750643730164
38,1.1298493146896362,0.7178400158882141,0.9212968945503235
39,1.2367265224456787,0.7264057993888855,0.9191875457763672
40,1.1325925588607788,0.7181540131568909,0.8995937705039978
41,1.112735390663147,0.7489545941352844,0.9192187786102295
42,1.1242766380310059,0.7431603670120239,0.917218804359436
43,1.1116856336593628,0.7339579463005066,0.9138594269752502
44,1.0214754343032837,0.7493470907211304,0.9153594374656677
45,1.195220708847046,0.7266209125518799,0.9087656736373901
46,0.9935271143913269,0.7456616163253784,0.8958906531333923
47,1.1546398401260376,0.7295732498168945,0.9039531946182251
48,0.8877107501029968,0.7657647132873535,0.9227500557899475
49,1.0373233556747437,0.7599354982376099,0.9007344245910645
50,1.0435210466384888,0.738124430179596,0.8792344331741333
51,1.0259878635406494,0.7414156198501587,0.883234441280365
52,1.358544111251831,0.703860878944397,0.8725312948226929
53,1.2118934392929077,0.7213835716247559,0.8808594346046448
54,1.0557926893234253,0.7397948503494263,0.8956875205039978
55,0.9429082274436951,0.7450783848762512,0.8897344470024109
56,1.248802900314331,0.7110879421234131,0.8690469264984131
57,0.9505741596221924,0.7505927085876465,0.8897344470024109
58,1.018050193786621,0.7393377423286438,0.8913593888282776
59,0.8879193067550659,0.7592363953590393,0.8847500681877136
60,0.8637577295303345,0.7719695568084717,0.8763906955718994
61,0.9910076856613159,0.7397514581680298,0.8675000667572021
62,0.7716931104660034,0.784564733505249,0.8873750567436218
63,0.7958019375801086,0.7756229043006897,0.8910781741142273
64,0.9007001519203186,0.7591128349304199,0.8813125491142273
65,0.9030968546867371,0.7552462220191956,0.8823281526565552
66,0.9064579606056213,0.7621092796325684,0.8948438167572021
67,0.8294782042503357,0.7747730016708374,0.8828594088554382
68,0.8166132569313049,0.7841234803199768,0.8938125371932983
69,0.7062709927558899,0.7962362170219421,0.9050000309944153
70,0.729928731918335,0.7865206003189087,0.8872343897819519
71,0.8677595853805542,0.7698494791984558,0.9032812714576721
72,1.0057716369628906,0.725354790687561,0.9050312638282776
73,1.2142837047576904,0.6973568797111511,0.9097968935966492
74,0.7519016861915588,0.7863076329231262,0.9028750658035278
75,0.9584991931915283,0.7459758520126343,0.9095469117164612
76,0.8369905948638916,0.7854434251785278,0.9188281893730164
77,1.0283629894256592,0.7494693994522095,0.9055156707763672
78,0.8220192790031433,0.773227334022522,0.9061250686645508
79,0.9488266110420227,0.7556362748146057,0.9162188172340393
80,0.7753382921218872,0.7963362336158752,0.9194844365119934
81,0.8154269456863403,0.783622145652771,0.9116719365119934
82,0.8193709254264832,0.7771589756011963,0.903390645980835
83,0.8404583930969238,0.7759256362915039,0.911109447479248
84,0.8591746687889099,0.784479022026062,0.8971719145774841
85,0.7600998282432556,0.7777968645095825,0.9085156917572021
86,0.7329218983650208,0.8072673082351685,0.9077500700950623
87,0.787386953830719,0.7959113717079163,0.9125937819480896
88,0.735593318939209,0.7829086184501648,0.9037812948226929
89,0.6663949489593506,0.7990374565124512,0.915515661239624
90,0.7858443856239319,0.7707282304763794,0.9045625329017639
91,0.5819869041442871,0.81484055519104,0.9216719269752502
92,0.770997941493988,0.7927075624465942,0.9213281869888306
93,0.7434403300285339,0.783901572227478,0.924781322479248
94,0.7335405945777893,0.7882126569747925,0.9104062914848328
95,0.7353087067604065,0.7903558015823364,0.903390645980835
96,0.8390111923217773,0.7768513560295105,0.9013750553131104
97,0.7115341424942017,0.7923615574836731,0.9106875658035278
98,0.8399713039398193,0.7840121388435364,0.9061563014984131
99,0.6154812574386597,0.8131362795829773,0.9239687919616699
100,0.7175004482269287,0.7779865860939026,0.9062656760215759
101,0.6461955904960632,0.8111150860786438,0.9145781397819519
102,0.6556299328804016,0.8117759227752686,0.9157969355583191
103,0.724266529083252,0.7937834858894348,0.9063594341278076
104,0.7588384747505188,0.7801544070243835,0.9189687967300415
105,0.7217757105827332,0.7733876705169678,0.8937343955039978
106,0.7243757247924805,0.8033096194267273,0.919671893119812
107,0.748812735080719,0.7927388548851013,0.9162656664848328
108,0.6768990755081177,0.8028776049613953,0.8915781378746033
109,0.6560954451560974,0.8162415027618408,0.9224063158035278
110,0.6194208860397339,0.8134796023368835,0.9071562886238098
111,0.5764580965042114,0.8282479047775269,0.9258437752723694
112,0.7386705875396729,0.7867727279663086,0.9015468955039978
113,0.6925936341285706,0.8143541216850281,0.8969531655311584
114,0.8129071593284607,0.7921183109283447,0.8936875462532043
115,0.9507555365562439,0.7589848041534424,0.9056094288825989
116,0.8934701681137085,0.752391517162323,0.8885625600814819
117,0.8679018020629883,0.7578526735305786,0.8874375224113464
118,0.8076768517494202,0.7707362771034241,0.895734429359436
119,0.7467246651649475,0.7971308827400208,0.907296895980835
120,0.9254022836685181,0.7489110827445984,0.8824688196182251
121,0.7559361457824707,0.7732282280921936,0.90171879529953
122,0.6725447177886963,0.7979844212532043,0.8899375200271606
123,0.7703955769538879,0.7743343114852905,0.8989375233650208
124,0.9000351428985596,0.7717739343643188,0.8738594055175781
125,0.8660576939582825,0.761682391166687,0.8767188191413879
126,0.8709964752197266,0.766302764415741,0.9030781388282776
127,0.6185883283615112,0.8103495836257935,0.9037187695503235
128,0.7549344897270203,0.7873985171318054,0.8912656903266907
129,0.8299117684364319,0.765515923500061,0.8884531855583191
