query_index,global_correct,refined_correct,ru_correct,top100_reachable,refined_distance_m,refined_raw_ca_difference_deg,nearest_gt_distance_m
0,True,True,True,True,18.05518284513491,17.29230000000004,3.6425908324610936
1,False,False,False,True,2992.7987827965094,158.99263858795166,3.725586930207563
2,True,True,True,True,7.865656202471128,17.087599999999924,0.4628546065915677
3,False,True,False,True,16.669336567545397,33.11940000000001,4.633649607247334
4,True,True,True,True,14.726333298686757,7.593992999999955,3.0693484701177094
5,True,True,True,True,4.431340525788577,14.311860000000024,3.7803910776421397
6,True,True,True,True,10.41142378460426,18.562999999999988,10.41142378460426
7,True,True,True,True,21.038614000515754,6.385375976562415,10.336256693639537
8,True,True,True,True,15.425243155120565,3.840850830078125,6.151550032819036
9,True,True,True,True,7.642777431167177,18.526310000000024,2.6661118935967187
10,True,True,True,True,16.436197534951866,10.369685742187471,0.7422065194017772
11,True,True,True,True,8.105381558481298,18.61407470703125,4.111489879601029
12,True,True,True,True,3.123115937066743,12.358889999999974,1.534372713628543
13,True,True,True,True,3.1801656441519404,31.77800000000002,3.1801656441519404
14,True,True,True,True,12.593308038007402,27.808099999999996,2.8094823562912166
15,True,True,True,True,3.875804506881608,3.176300000000026,3.875804506881608
16,True,True,True,True,4.612806656291415,1.2828000000000372,1.5313430670095618
17,True,True,True,True,8.05837921592915,21.187810000000013,3.915838478967878
18,True,True,True,True,4.437303041432411,27.65870000000001,3.2337135397120895
19,True,True,True,True,1.6811781845090497,10.002200000000016,1.6811781845090497
20,True,True,True,True,6.5770076688012935,21.163700000000006,5.753486721843729
21,True,True,True,True,6.130316042118404,3.4335000000000377,2.210938106208346
22,True,True,True,True,6.207261854270982,8.936848508071876,6.207261854270982
23,True,True,True,True,5.040530177483603,0.50830078125,3.597235813466728
24,True,True,True,True,19.501608336276345,0.274627685546875,1.2784918156745164
25,True,True,True,True,4.84334431663407,34.87869999999998,4.84334431663407
26,True,True,False,True,8.202526129089206,12.474831188201989,8.202526129089206
27,True,False,True,True,28.13794929038247,17.27188000000001,5.091441293454574
28,True,True,True,True,10.594365928799647,6.960900000000009,6.970881963000228
29,True,True,True,True,1.0849903828414758,1.039300000000054,1.0849903828414758
30,False,False,True,True,26.32802261186538,15.923800000000028,14.023004708663386
31,True,True,True,True,5.091951365730086,32.1100720703125,3.26641472303203
32,True,True,True,True,6.243364681343859,6.262284814453096,3.515599551448213
33,True,True,True,True,9.579492312741714,4.439418749999959,1.6082699699768606
34,False,False,False,True,1298.0400049053796,86.89698999999996,1.376122710919474
35,False,True,True,True,12.255343481916315,0.8291015625,6.038968172813375
36,True,True,True,True,15.494681062510073,1.183807373046875,7.406697793337873
37,True,True,True,True,3.792480115437617,8.474000000000046,3.792480115437617
38,True,True,True,True,9.099900998882903,8.359680000000026,1.4070996971696699
39,False,True,True,True,2.232452517498079,13.496339999999975,2.232452517498079
40,True,True,True,True,16.754666904049238,20.092099999999988,12.699719697670679
41,True,True,True,True,0.5116514752058668,5.160100000000085,0.5116514752058668
42,True,True,True,True,14.356212060846724,3.229250000000036,2.849533335915896
43,True,True,True,True,18.87160969356621,27.755499999999984,7.994803063584572
44,True,True,True,True,4.002847320696415,24.11352999999997,4.002847320696415
45,True,True,True,True,8.519871842191193,17.894800000000032,8.307086512723377
46,True,True,True,True,5.438782066177652,3.746399999999994,4.700141019006524
47,True,True,True,True,8.559070099452875,18.04469999999992,2.8140600291046347
48,True,True,True,True,4.392013713524098,19.1884,1.2977031466177098
49,False,True,False,True,0.062907953418252,3.7269900000000007,0.062907953418252
50,True,True,True,True,16.008121748914792,2.740570068359375,3.787024361377343
