layer,query,fc_energy_weight
1,0,0.007012513466179371
1,1,0.007571069989353418
1,2,0.00676263403147459
1,3,0.005687440745532513
1,4,0.006181009113788605
1,5,0.005802531726658344
1,6,0.008134872652590275
1,7,0.007486055139452219
1,8,0.0077539654448628426
1,9,0.00886391382664442
1,10,0.006664312910288572
1,11,0.008370518684387207
1,12,0.007598577067255974
1,13,0.005855487193912268
1,14,0.0031924317590892315
1,15,0.009239401668310165
1,16,0.009714753367006779
1,17,0.01021567638963461
1,18,0.00647913571447134
1,19,0.007320719305425882
1,20,0.005543947219848633
1,21,0.008718937635421753
1,22,0.00717761367559433
1,23,0.0053887683898210526
1,24,0.006649453192949295
1,25,0.00517707085236907
1,26,0.0070821805857121944
1,27,0.00429003220051527
1,28,0.007350269705057144
1,29,0.007839146070182323
1,30,0.007630009204149246
1,31,0.009514293633401394
1,32,0.007743787486106157
1,33,0.005126096773892641
1,34,0.009713135659694672
1,35,0.006634894292801619
1,36,0.008313242346048355
1,37,0.007979926653206348
1,38,0.00974952057003975
1,39,0.00807332992553711
1,40,0.007291276939213276
1,41,0.004157511983066797
1,42,0.008644135668873787
1,43,0.006939070764929056
1,44,0.006480491254478693
1,45,0.011290392838418484
1,46,0.006560942158102989
1,47,0.005600984673947096
1,48,0.005912798922508955
1,49,0.007204965688288212
1,50,0.006808320991694927
1,51,0.008991526439785957
1,52,0.010859113186597824
1,53,0.007409283425658941
1,54,0.008059424348175526
1,55,0.006903236731886864
1,56,0.0062606907449662685
1,57,0.009846903383731842
1,58,0.008146771229803562
1,59,0.009319019503891468
1,60,0.007949382066726685
1,61,0.007739034481346607
1,62,0.006391245871782303
1,63,0.0073005943559110165
2,0,0.007024842780083418
2,1,0.00645707780495286
2,2,0.008662059903144836
2,3,0.006991153582930565
2,4,0.014054447412490845
2,5,0.010302741080522537
2,6,0.008992736227810383
2,7,0.007554831448942423
2,8,0.009854494594037533
2,9,0.0090798856690526
2,10,0.009185471571981907
2,11,0.008461861871182919
2,12,0.008386299014091492
2,13,0.00783408060669899
2,14,0.010455180890858173
2,15,0.006871066056191921
2,16,0.009920493699610233
2,17,0.008997203782200813
2,18,0.007265344262123108
2,19,0.010175985284149647
2,20,0.005428317468613386
2,21,0.007879856042563915
2,22,0.009923920035362244
2,23,0.00653201574459672
2,24,0.0066132876090705395
2,25,0.008420825935900211
2,26,0.008932452648878098
2,27,0.007272006943821907
2,28,0.008869324810802937
2,29,0.008652634918689728
2,30,0.005791003350168467
2,31,0.005260329693555832
2,32,0.008671386167407036
2,33,0.008953481912612915
2,34,0.008443566039204597
2,35,0.005852686706930399
2,36,0.006050672382116318
2,37,0.009620094671845436
2,38,0.008065021596848965
2,39,0.006237661931663752
2,40,0.010018507018685341
2,41,0.005660217255353928
2,42,0.009697755798697472
2,43,0.009662131778895855
2,44,0.006811344996094704
2,45,0.006026766262948513
2,46,0.007687055971473455
2,47,0.010286402888596058
2,48,0.007643695455044508
2,49,0.008948593400418758
2,50,0.008009628392755985
2,51,0.008557415567338467
2,52,0.006264102645218372
2,53,0.008480094373226166
2,54,0.009589332155883312
2,55,0.00965525209903717
2,56,0.008151489309966564
2,57,0.010232554748654366
2,58,0.005834690295159817
2,59,0.006538681220263243
2,60,0.008301996625959873
2,61,0.010133782401680946
2,62,0.008866672404110432
2,63,0.007274269126355648
