group,layer,head,image_count,aligned_area_mean,aligned_attention_mass_mean,aligned_micro_enrichment,shuffled_area_mean,shuffled_attention_mass_mean,shuffled_micro_enrichment,random_area_mean,random_attention_mass_mean,random_micro_enrichment,aligned_minus_random_mass_mean,aligned_minus_random_micro_enrichment,aligned_minus_shuffled_mass_mean,aligned_minus_shuffled_micro_enrichment
all,1,0,20565,0.06302979775742258,0.05550291685209968,0.8805821821880031,0.06302979786321249,0.06966315353116703,1.1052415824393136,0.06302979782843225,0.06285352395269354,0.997203324747788,-0.007350607100593861,-0.11662114255978484,-0.01416023667906736,-0.22465940025131048
all,1,1,20565,0.06302979775742258,0.06871468262509628,1.0901936079432244,0.06302979786321249,0.08087056246575955,1.2830528608272733,0.06302979782843225,0.06303966466620259,1.0001565424308863,0.005675017958893691,0.09003706551233814,-0.01215587984066327,-0.19285925288404893
all,1,2,20565,0.06302979775742258,0.06486531544876177,1.029121427588954,0.06302979786321249,0.07561022896793328,1.199594977791661,0.06302979782843225,0.06300991178229143,0.9996844977006757,0.0018554036664703366,0.029436929888278285,-0.010744913519171506,-0.17047355020270705
all,1,3,20565,0.06302979775742258,0.07126519508014956,1.1306587933920056,0.06302979786321249,0.0819370796232365,1.2999737013445078,0.06302979782843225,0.06305895331245502,1.0004625666752436,0.008206241767694541,0.130196226716762,-0.010671884543086936,-0.16931490795250226
all,1,4,20565,0.06302979775742258,0.0633103003887423,1.0044503178068136,0.06302979786321249,0.07510536398123628,1.1915850364018339,0.06302979782843225,0.06302227799063098,0.9998806939247729,0.00028802239811131694,0.004569623882040741,-0.011795063592493988,-0.1871347185950203
all,1,5,20565,0.06302979775742258,0.06227242651373083,0.987983917597093,0.06302979786321249,0.06817106742682667,1.0815688727857224,0.06302979782843225,0.06275475737218737,0.9956363424011998,-0.00048233085845653925,-0.007652424804106772,-0.00589864091309584,-0.09358495518862942
all,2,0,20565,0.06302979775742258,0.05806015158851499,0.921154020071049,0.06302979786321249,0.07389469411638049,1.1723771394086815,0.06302979782843225,0.06299294395230297,0.9994152943940962,-0.004932792363787981,-0.07826127432304719,-0.015834542527865484,-0.25122311933763253
all,2,1,20565,0.06302979775742258,0.060445850511341236,0.9590043544796707,0.06302979786321249,0.06905348895386192,1.0955689419109682,0.06302979782843225,0.06307170671894748,1.0006649059961974,-0.002625856207606242,-0.0416605515165267,-0.008607638442520674,-0.1365645874312975
all,2,2,20565,0.06302979775742258,0.0615658581631841,0.9767738490947945,0.06302979786321249,0.07684063192936094,1.219115950460777,0.06302979782843225,0.06300190416719006,0.9995574527889474,-0.0014360460040059666,-0.022783603694152887,-0.015274773766176851,-0.24234210136598244
all,2,3,20565,0.06302979775742258,0.06723342644365007,1.0666927205193588,0.06302979786321249,0.07530387014534651,1.1947344382853846,0.06302979782843225,0.06290543770262237,0.9980269629588789,0.0043279887410277015,0.06866575756047988,-0.008070443701696437,-0.1280417177660258
all,2,4,20565,0.06302979775742258,0.06410197469609846,1.0170106358710254,0.06302979786321249,0.08068091293161524,1.280043973910709,0.06302979782843225,0.0629097560131646,0.9980954751656607,0.001192218682933857,0.018915160705364698,-0.016578938235516767,-0.26303333803968365
all,2,5,20565,0.06302979775742258,0.06843550248044832,1.0857642720643055,0.06302979786321249,0.07306843280154598,1.1592680807912374,0.06302979782843225,0.06289859421786238,0.9979183875707962,0.005536908262585945,0.08784588449350927,-0.004632930321097664,-0.07350380872693196
references,1,0,18871,0.06348250746003686,0.055754573097763736,0.8782667120208197,0.06348250752241785,0.06979079944177397,1.0993705536462692,0.06348250753742088,0.06333018538752233,0.9976005650090498,-0.007575612289758594,-0.11933385298823007,-0.014036226344010232,-0.2211038416254495
references,1,1,18871,0.06348250746003686,0.0689593704491524,1.0862735768993264,0.06348250752241785,0.0809756233205629,1.2755580471040409,0.06348250753742088,0.06348294927027938,1.0000069583397952,0.0054764211788730305,0.0862666185595311,-0.012016252871410497,-0.1892844702047145
references,1,2,18871,0.06348250746003686,0.06501862757870502,1.0241975337794458,0.06348250752241785,0.07561374196730296,1.1910957036566514,0.06348250753742088,0.0635344472535953,1.0008181736700272,0.0014841803251097194,0.023379360109418545,-0.01059511438859794,-0.16689816987720563
