group,layer,query,image_count,aligned_area_mean,aligned_attention_mass_mean,aligned_micro_enrichment,shuffled_area_mean,shuffled_attention_mass_mean,shuffled_micro_enrichment,random_area_mean,random_attention_mass_mean,random_micro_enrichment,aligned_minus_random_mass_mean,aligned_minus_random_micro_enrichment,aligned_minus_shuffled_mass_mean,aligned_minus_shuffled_micro_enrichment
all,1,0,20565,0.06302979775742258,0.046215047543008425,0.7332253820783678,0.06302979786321249,0.06708707568015375,1.0643707889678844,0.06302979782843225,0.0630477256542674,1.000284434131995,-0.016832678111258974,-0.2670590520536271,-0.020872028137145324,-0.33114540688951655
all,1,1,20565,0.06302979775742258,0.05781068934746759,0.9171961739423419,0.06302979786321249,0.07198536537321357,1.1420846617569118,0.06302979782843225,0.06292754354188487,0.9983776834121266,-0.005116854194417289,-0.08118150946978475,-0.014174676025745977,-0.22488848781456994
all,1,2,20565,0.06302979775742258,0.07532637448451096,1.1950914831491792,0.06302979786321249,0.0757911183177309,1.2024648799003461,0.06302979782843225,0.0629329947028171,0.9984641688701168,0.012393379781693864,0.19662731427906244,-0.0004647438332199355,-0.007373396751166883
all,1,3,20565,0.06302979775742258,0.05720041661716657,0.90751388473923,0.06302979786321249,0.07450099038637209,1.1819963400176918,0.06302979782843225,0.06292350057483312,0.9983135396707369,-0.005723083957666547,-0.09079965493150688,-0.01730057376920552,-0.2744824552784618
all,1,4,20565,0.06302979775742258,0.05421008138281447,0.8600706857960769,0.06302979786321249,0.06900781409281928,1.0948442868654014,0.06302979782843225,0.06304550916710522,1.0002492684288111,-0.00883542778429075,-0.1401785826327342,-0.014797732710004815,-0.23477360106932443
all,1,5,20565,0.06302979775742258,0.07309383000814397,1.1596710224179043,0.06302979786321249,0.07924675316002547,1.2572902951712945,0.06302979782843225,0.06296294783865872,0.9989393906996895,0.010130882169485251,0.1607316317182148,-0.0061529231518814955,-0.09761927275339022
all,1,6,20565,0.06302979775742258,0.06592295939781391,1.045901490141631,0.06302979786321249,0.07758162277271763,1.2308721494091663,0.06302979782843225,0.06294743025374486,0.9986931962734261,0.002975529144069059,0.04720829386820491,-0.01165866337490372,-0.1849706592675353
all,1,7,20565,0.06302979775742258,0.04464862368246434,0.7083732658368935,0.06302979786321249,0.0650545203624895,1.032123258647776,0.06302979782843225,0.06313109860331563,1.001607188637335,-0.018482474920851283,-0.29323392280044147,-0.020405896680025168,-0.32374999281088246
all,1,8,20565,0.06302979775742258,0.06554477346670214,1.0399013767894152,0.06302979786321249,0.07092515280900023,1.1252638468383205,0.06302979782843225,0.06277044184642705,0.9958851846120281,0.0027743316202750758,0.04401619217738706,-0.005380379342298104,-0.08536247004890529
all,1,9,20565,0.06302979775742258,0.06216964725399996,0.9863532720391551,0.06302979786321249,0.07631838706007497,1.2108302683391343,0.06302979782843225,0.06287563666075793,0.997554154178093,-0.0007059894067579697,-0.011200882138937884,-0.014148739806075014,-0.2244769962999792
all,1,10,20565,0.06302979775742258,0.0488864928141043,0.775609228546942,0.06302979786321249,0.06753758698694613,1.071518381409321,0.06302979782843225,0.06307125556329797,1.0006577481809251,-0.014184762749193669,-0.2250485196339831,-0.01865109417284182,-0.29590915286237895
all,1,11,20565,0.06302979775742258,0.06342108896950478,1.0062080353420795,0.06302979786321249,0.07181054294007902,1.1393110143859662,0.06302979782843225,0.06289520657252463,0.9978646408437803,0.0005258823969801528,0.008343394498299128,-0.008389453970574235,-0.13310297904388668
all,1,12,20565,0.06302979775742258,0.05777605844189705,0.9166467369014074,0.06302979786321249,0.07774322729692708,1.2334360878904564,0.06302979782843225,0.06302104868451786,0.9998611903541527,-0.0052449902426208025,-0.08321445345274525,-0.01996716885503002,-0.31678935098904903
all,1,13,20565,0.06302979775742258,0.06571472200073453,1.0425976972613047,0.06302979786321249,0.07643789250051311,1.212726283311251,0.06302979782843225,0.06299008960304393,0.9993700086822997,0.002724632397690587,0.04322768857900494,-0.010723170499778594,-0.1701285860499464
all,1,14,20565,0.06302979775742258,0.07584611270001573,1.2033373959395874,0.06302979786321249,0.08279699973169684,1.3136167739484619,0.06302979782843225,0.06308161120781611,1.0008220457810273,0.012764501492199622,0.20251535015856015,-0.006950887031681109,-0.11027937800887444
all,1,15,20565,0.06302979775742258,0.04839486974234215,0.767809376901309,0.06302979786321249,0.06943321586118949,1.101593503629406,0.06302979782843225,0.06299747755900913,0.999487222384703,-0.014602607816666974,-0.23167784548339398,-0.021038346118847334,-0.333784126728097
all,1,16,20565,0.06302979775742258,0.06625432784234575,1.05115882010812,0.06302979786321249,0.07748668022524433,1.229365837304543,0.06302979782843225,0.06292641785459079,0.9983598238071004,0.003327909987754966,0.052798996301019474,-0.011232352382898577,-0.17820701719642318
all,1,17,20565,0.06302979775742258,0.07338811615393663,1.1643400227362182,0.06302979786321249,0.07166000715056794,1.1369226870453364,0.06302979782843225,0.06270320419569239,0.9948184248721718,0.01068491195824424,0.1695215978640464,0.0017281090033686919,0.027417335690881783
all,1,18,20565,0.06302979775742258,0.07057393992511266,1.1196916765737466,0.06302979786321249,0.07780652701521396,1.2344403703161158,0.06302979782843225,0.06275564470129581,0.9956504203316235,0.007818295223816845,0.12404125624212303,-0.00723258709010129,-0.11474869374236918
all,1,19,20565,0.06302979775742258,0.053420727358272344,0.847547180206228,0.06302979786321249,0.07371020573292107,1.1694501367890668,0.06302979782843225,0.06314408480191552,1.001813221324212,-0.00972335744364318,-0.15426604111798392,-0.020289478374648735,-0.32190295658283885
all,1,20,20565,0.06302979775742258,0.06589158967559296,1.0454037934436078,0.06302979786321249,0.08202948799511246,1.3014398074563585,0.06302979782843225,0.06299368244111936,0.9994270108971127,0.002897907234473598,0.045976782546495065,-0.0161378983195195,-0.25603601401275067
all,1,21,20565,0.06302979775742258,0.0655322074512445,1.0397020105229076,0.06302979786321249,0.07714729483273092,1.223981314364299,0.06302979782843225,0.06305287751214524,1.0003661709938498,0.0024793299390992603,0.039335839529057726,-0.011615087381486413,-0.18427930384139146
all,1,22,20565,0.06302979775742258,0.052574612975094276,0.8341231424767332,0.06302979786321249,0.06528142952669748,1.0357232886637442,0.06302979782843225,0.0628197445409914,0.9966673970934731,-0.01024513156589713,-0.16254425461673983,-0.012706816551603202,-0.20160014618701094
all,1,23,20565,0.06302979775742258,0.061853258522988674,0.98133360289427,0.06302979786321249,0.07258822435362333,1.151649328007597,0.06302979782843225,0.06277991101066946,0.9960354177488719,-0.0009266524876807761,-0.01470181485460198,-0.01073496583063466,-0.17031572511332704
all,1,24,20565,0.06302979775742258,0.07839506766714704,1.2437778710453662,0.06302979786321249,0.08329466286582028,1.3215124542615015,0.06302979782843225,0.06309790768497969,1.0010805977314545,0.015297159982167357,0.24269727331391167,-0.004899595198673241,-0.07773458321613536
all,1,25,20565,0.06302979775742258,0.06112369280553034,0.9697586693958926,0.06302979786321249,0.07755140079769113,1.2303926623086032,0.06302979782843225,0.06307552605070339,1.0007255016491663,-0.0019518332451730497,-0.03096683225327368,-0.016427707992160794,-0.2606339929127106
all,1,26,20565,0.06302979775742258,0.06566708106060762,1.0418418493636123,0.06302979786321249,0.08108330483045886,1.2864281273188622,0.06302979782843225,0.0630001239152127,0.9995292081802275,0.0026669571453949072,0.04231264118338485,-0.015416223769851252,-0.2445862779552499
all,1,27,20565,0.06302979775742258,0.07554680539083135,1.1985887322942383,0.06302979786321249,0.0825792869569726,1.3101626493581098,0.06302979782843225,0.06303025188389882,1.0000072038223542,0.012516553506932527,0.19858152847188415,-0.007032481566141252,-0.11157391706387143
all,1,28,20565,0.06302979775742258,0.058701725964475884,0.9313329259027011,0.06302979786321249,0.0753473655226281,1.1954245147056832,0.06302979782843225,0.06293668817307478,0.9985227676660028,-0.0042349622085988935,-0.06718984176330167,-0.016645639558152223,-0.2640915888029821
all,1,29,20565,0.06302979775742258,0.0786440582041113,1.2477282333473765,0.06302979786321249,0.08557636607977238,1.3577128434631909,0.06302979782843225,0.06307425482470656,1.0007053329981372,0.015569803379404744,0.24702290034923924,-0.006932307875661079,-0.1099846101158144
all,1,30,20565,0.06302979775742258,0.052815146721607864,0.837939333470068,0.06302979786321249,0.07171210215209378,1.137749200905319,0.06302979782843225,0.06298162857026099,0.9992357700670027,-0.01016648184865313,-0.1612964365969347,-0.01889695543048592,-0.29980986743525095
all,1,31,20565,0.06302979775742258,0.07940885301198428,1.25986209439539,0.06302979786321249,0.08411603124652384,1.3345438839748902,0.06302979782843225,0.0630777668931878,1.0007610537620018,0.016331086118796485,0.25910104063338824,-0.004707178234539558,-0.07468178957950022
all,1,32,20565,0.06302979775742258,0.07499599832164677,1.1898498962391961,0.06302979786321249,0.08111345677546217,1.2869065033572678,0.06302979782843225,0.06293453887963625,0.9984886680256331,0.012061459442010522,0.19136122821356305,-0.006117458453815392,-0.09705660711807162
all,1,33,20565,0.06302979775742258,0.05506661213226773,0.8736599845076121,0.06302979786321249,0.07493305731190691,1.1888513029111551,0.06302979782843225,0.06308411993759978,1.0008618480629654,-0.008017507805332056,-0.12720186355535334,-0.019866445179639182,-0.3151913184035431
all,1,34,20565,0.06302979775742258,0.06851892750372862,1.087087852755479,0.06302979786321249,0.08025448687343797,1.2732785062647125,0.06302979782843225,0.0628024051824316,0.9963922992959678,0.005716522321297019,0.09069555345951119,-0.011735559369709344,-0.18619065350923347
all,1,35,20565,0.06302979775742258,0.05316254573944597,0.8434509966864899,0.06302979786321249,0.07088434792857608,1.1246164565275865,0.06302979782843225,0.06289763155091806,0.9979031143670499,-0.009735085811472092,-0.15445211768056,-0.017721802189130106,-0.28116545984109653
all,1,36,20565,0.06302979775742258,0.0872329068873526,1.3839947134699442,0.06302979786321249,0.08683912622763414,1.3777471794545928,0.06302979782843225,0.06299789191014286,0.9994937962774967,0.024235014977209736,0.3845009171924475,0.0003937806597184648,0.006247534015351386
all,1,37,20565,0.06302979775742258,0.0457788431393483,0.7263047759653846,0.06302979786321249,0.06381653411933867,1.012481973333209,0.06302979782843225,0.06309602331889101,1.001050701299075,-0.017317180179542715,-0.27474592533369047,-0.018037690979990372,-0.28617719736782454
all,1,38,20565,0.06302979775742258,0.08318338728526373,1.319747012443298,0.06302979786321249,0.07968711853607015,1.2642769172290134,0.06302979782843225,0.06271920876773135,0.9950723455984054,0.020464178517532378,0.32467466684489255,0.003496268749193585,0.05547009521428459
all,1,39,20565,0.06302979775742258,0.061229239213340385,0.97143321717433,0.06302979786321249,0.07210578600797461,1.1439951967553326,0.06302979782843225,0.06295424602919437,0.998801332039117,-0.0017250068158539882,-0.027368114864787074,-0.010876546794634222,-0.1725619795810026
all,1,40,20565,0.06302979775742258,0.052295561156281145,0.8296958425528609,0.06302979786321249,0.06353648718679267,1.008038885428124,0.06302979782843225,0.06293625999396042,0.9985159743852197,-0.010640698837679275,-0.16882013183235878,-0.011240926030511524,-0.17834304287526304
all,1,41,20565,0.06302979775742258,0.06844206036172885,1.0858683162071372,0.06302979786321249,0.07755181124226009,1.230399174221744,0.06302979782843225,0.06301785042612917,0.9998104483480084,0.005424209935599682,0.08605786785912883,-0.009109750880531236,-0.14453085801460674
all,1,42,20565,0.06302979775742258,0.05356483365003307,0.8498335002784474,0.06302979786321249,0.0747136974549195,1.185371046517767,0.06302979782843225,0.06295762871114237,0.9988550000194143,-0.009392795061109302,-0.1490214997409669,-0.021148863804886432,-0.33553754623931953
all,1,43,20565,0.06302979775742258,0.0757335009784278,1.2015507533420444,0.06302979786321249,0.08140365771936611,1.2915106898490876,0.06302979782843225,0.06287811100202163,0.9975934108685623,0.012855389976406182,0.20395734247348207,-0.005670156740938301,-0.08995993650704315
all,1,44,20565,0.06302979775742258,0.06449953159666648,1.0233180795677046,0.06302979786321249,0.07897366190837765,1.2529575627033833,0.06302979782843225,0.06292173605976745,0.9982855447361747,0.0015777955368990403,0.025032534831529896,-0.01447413031171116,-0.22963948313567872
all,1,45,20565,0.06302979775742258,0.05106051028797839,0.8101011284296141,0.06302979786321249,0.06625822870916269,1.0512207075922495,0.06302979782843225,0.06304493290444227,1.000240125726743,-0.01198442261646388,-0.1901389972971289,-0.015197718421184296,-0.24111957916263538
