_LR,batch_acc,epoch,loss,msls-val/R1,msls-val/R5,step,vpr_loss
1.9999999949504854e-06,0.9125000238418579,2,0.06532604247331619,,,3139,0.06532604247331619
1.9999999949504854e-06,0.856249988079071,2,0.11621446907520294,,,3159,0.11621446907520294
1.9999999949504854e-06,0.831250011920929,2,0.1586933135986328,,,3179,0.1586933135986328
1.9999999949504854e-06,0.8500000238418579,2,0.13356952369213104,,,3199,0.13356952369213104
1.9999999949504854e-06,0.9375,2,0.05261513218283653,,,3219,0.05261513218283653
1.9999999949504854e-06,0.875,2,0.10849243402481079,,,3239,0.10849243402481079
1.9999999949504854e-06,0.9375,2,0.044633299112319946,,,3259,0.044633299112319946
1.9999999949504854e-06,0.893750011920929,2,0.08460276573896408,,,3279,0.08460276573896408
1.9999999949504854e-06,0.875,2,0.10632319748401642,,,3299,0.10632319748401642
1.9999999949504854e-06,0.96875,2,0.022009965032339096,,,3319,0.022009965032339096
1.9999999949504854e-06,0.8999999761581421,2,0.0886087417602539,,,3339,0.0886087417602539
1.9999999949504854e-06,0.862500011920929,2,0.12573257088661194,,,3359,0.12573257088661194
1.9999999949504854e-06,0.9437500238418579,2,0.05092628672719002,,,3379,0.05092628672719002
1.9999999949504854e-06,0.918749988079071,2,0.07203026860952377,,,3399,0.07203026860952377
1.9999999949504854e-06,0.9375,2,0.05325344204902649,,,3419,0.05325344204902649
1.9999999949504854e-06,0.875,2,0.0947384461760521,,,3439,0.0947384461760521
1.9999999949504854e-06,0.9125000238418579,2,0.06978753954172134,,,3459,0.06978753954172134
1.9999999949504854e-06,0.90625,2,0.08787112683057785,,,3479,0.08787112683057785
1.9999999949504854e-06,0.9437500238418579,2,0.04008864983916283,,,3499,0.04008864983916283
1.9999999949504854e-06,0.9375,2,0.05026649311184883,,,3519,0.05026649311184883
1.9999999949504854e-06,0.925000011920929,2,0.06435628980398178,,,3539,0.06435628980398178
1.9999999949504854e-06,0.90625,2,0.09349294006824493,,,3559,0.09349294006824493
1.9999999949504854e-06,0.949999988079071,2,0.045798297971487045,,,3579,0.045798297971487045
1.9999999949504854e-06,0.8999999761581421,2,0.08185780048370361,,,3599,0.08185780048370361
1.9999999949504854e-06,0.8374999761581421,2,0.14645271003246307,,,3619,0.14645271003246307
1.9999999949504854e-06,0.862500011920929,2,0.10432755947113037,,,3639,0.10432755947113037
1.9999999949504854e-06,0.8374999761581421,2,0.13048484921455383,,,3659,0.13048484921455383
1.9999999949504854e-06,0.8812500238418579,2,0.0991324707865715,,,3679,0.0991324707865715
1.9999999949504854e-06,0.887499988079071,2,0.10019493103027344,,,3699,0.10019493103027344
1.9999999949504854e-06,0.9437500238418579,2,0.047866757959127426,,,3719,0.047866757959127426
1.9999999949504854e-06,0.918749988079071,2,0.06991796940565109,,,3739,0.06991796940565109
1.9999999949504854e-06,0.793749988079071,2,0.17709651589393616,,,3759,0.17709651589393616
1.9999999949504854e-06,0.8062499761581421,2,0.15546171367168427,,,3779,0.15546171367168427
1.9999999949504854e-06,0.9312499761581421,2,0.06260295957326889,,,3799,0.06260295957326889
1.9999999949504854e-06,0.987500011920929,2,0.011108486913144588,,,3819,0.011108486913144588
1.9999999949504854e-06,0.925000011920929,2,0.07666553556919098,,,3839,0.07666553556919098
1.9999999949504854e-06,0.925000011920929,2,0.07054369151592255,,,3859,0.07054369151592255
1.9999999949504854e-06,0.862500011920929,2,0.11798787117004395,,,3879,0.11798787117004395
1.9999999949504854e-06,0.9125000238418579,2,0.06790044158697128,,,3899,0.06790044158697128
1.9999999949504854e-06,0.9312499761581421,2,0.05525214597582817,,,3919,0.05525214597582817
1.9999999949504854e-06,0.925000011920929,2,0.060170598328113556,,,3939,0.060170598328113556
1.9999999949504854e-06,0.9312499761581421,2,0.05371450260281563,,,3959,0.05371450260281563
1.9999999949504854e-06,0.9624999761581421,2,0.03140580654144287,,,3979,0.03140580654144287
1.9999999949504854e-06,0.90625,2,0.0939861536026001,,,3999,0.0939861536026001
1.9999999949504854e-06,0.8687499761581421,2,0.10558656603097916,,,4019,0.10558656603097916
1.9999999949504854e-06,0.862500011920929,2,0.12690679728984833,,,4039,0.12690679728984833
1.9999999949504854e-06,0.949999988079071,2,0.04504076763987541,,,4059,0.04504076763987541
1.9999999949504854e-06,0.949999988079071,2,0.04410673305392265,,,4079,0.04410673305392265
1.9999999949504854e-06,0.893750011920929,2,0.10291260480880737,,,4099,0.10291260480880737
1.9999999949504854e-06,0.949999988079071,2,0.044463496655225754,,,4119,0.044463496655225754
1.9999999949504854e-06,0.8812500238418579,2,0.10133235901594162,,,4139,0.10133235901594162
1.9999999949504854e-06,0.856249988079071,2,0.12685251235961914,,,4159,0.12685251235961914
1.9999999949504854e-06,0.893750011920929,2,0.08348876982927322,,,4179,0.08348876982927322
1.9999999949504854e-06,0.918749988079071,2,0.06936132907867432,,,4199,0.06936132907867432
1.9999999949504854e-06,0.8812500238418579,2,0.1006048247218132,,,4219,0.1006048247218132
1.9999999949504854e-06,0.8687499761581421,2,0.11159980297088623,,,4239,0.11159980297088623
1.9999999949504854e-06,0.8374999761581421,2,0.13160668313503265,,,4259,0.13160668313503265
1.9999999949504854e-06,0.8812500238418579,2,0.1003570482134819,,,4279,0.1003570482134819
1.9999999949504854e-06,0.9624999761581421,2,0.02643011510372162,,,4299,0.02643011510372162
1.9999999949504854e-06,0.862500011920929,2,0.11310961097478867,,,4319,0.11310961097478867
1.9999999949504854e-06,0.887499988079071,2,0.10089639574289322,,,4339,0.10089639574289322
1.9999999949504854e-06,0.875,2,0.10472533851861954,,,4359,0.10472533851861954
1.9999999949504854e-06,0.956250011920929,2,0.037541911005973816,,,4379,0.037541911005973816
1.9999999949504854e-06,0.8687499761581421,2,0.10962449759244919,,,4399,0.10962449759244919
1.9999999949504854e-06,0.862500011920929,2,0.12202682346105576,,,4419,0.12202682346105576
1.9999999949504854e-06,0.8187500238418579,2,0.16703175008296967,,,4439,0.16703175008296967
1.9999999949504854e-06,0.875,2,0.1050611138343811,,,4459,0.1050611138343811
1.9999999949504854e-06,0.893750011920929,2,0.10559885948896408,,,4479,0.10559885948896408
1.9999999949504854e-06,0.84375,2,0.1412808746099472,,,4499,0.1412808746099472
1.9999999949504854e-06,0.90625,2,0.08533231168985367,,,4519,0.08533231168985367
1.9999999949504854e-06,0.96875,2,0.02520819380879402,,,4539,0.02520819380879402
1.9999999949504854e-06,0.949999988079071,2,0.05034148693084717,,,4559,0.05034148693084717
1.9999999949504854e-06,0.981249988079071,2,0.013960256241261959,,,4579,0.013960256241261959
1.9999999949504854e-06,0.9312499761581421,2,0.0587509460747242,,,4599,0.0587509460747242
1.9999999949504854e-06,0.949999988079071,2,0.05015981197357178,,,4619,0.05015981197357178
1.9999999949504854e-06,0.90625,2,0.08395981788635254,,,4639,0.08395981788635254
1.9999999949504854e-06,0.8687499761581421,2,0.11289854347705841,,,4659,0.11289854347705841
1.9999999949504854e-06,0.9437500238418579,2,0.047322653234004974,,,4679,0.047322653234004974
,,2,,0.9040540456771851,0.9527027010917664,4688,
1.9999999949504854e-06,0.887499988079071,3,0.09380394220352173,,,4699,0.09380394220352173
1.9999999949504854e-06,0.8500000238418579,3,0.13031771779060364,,,4719,0.13031771779060364
1.9999999949504854e-06,0.7562500238418579,3,0.2100585252046585,,,4739,0.2100585252046585
1.9999999949504854e-06,0.768750011920929,3,0.19899101555347443,,,4759,0.19899101555347443
1.9999999949504854e-06,0.981249988079071,3,0.01842893287539482,,,4779,0.01842893287539482
1.9999999949504854e-06,0.875,3,0.10417788475751877,,,4799,0.10417788475751877
1.9999999949504854e-06,0.9375,3,0.0570656843483448,,,4819,0.0570656843483448
1.9999999949504854e-06,0.9125000238418579,3,0.06719379872083664,,,4839,0.06719379872083664
1.9999999949504854e-06,0.956250011920929,3,0.03055320493876934,,,4859,0.03055320493876934
1.9999999949504854e-06,0.8687499761581421,3,0.11903803795576096,,,4879,0.11903803795576096
1.9999999949504854e-06,0.862500011920929,3,0.11584208160638809,,,4899,0.11584208160638809
1.9999999949504854e-06,0.875,3,0.12005960941314697,,,4919,0.12005960941314697
1.9999999949504854e-06,0.918749988079071,3,0.06968624889850616,,,4939,0.06968624889850616
1.9999999949504854e-06,0.9437500238418579,3,0.04233843833208084,,,4959,0.04233843833208084
1.9999999949504854e-06,0.893750011920929,3,0.09851615875959396,,,4979,0.09851615875959396
1.9999999949504854e-06,0.9624999761581421,3,0.026667654514312744,,,4999,0.026667654514312744
1.9999999949504854e-06,0.9624999761581421,3,0.028838766738772392,,,5019,0.028838766738772392
1.9999999949504854e-06,0.90625,3,0.08167602866888046,,,5039,0.08167602866888046
1.9999999949504854e-06,0.8999999761581421,3,0.09082066267728806,,,5059,0.09082066267728806
1.9999999949504854e-06,0.84375,3,0.13783477246761322,,,5079,0.13783477246761322
1.9999999949504854e-06,0.981249988079071,3,0.018508896231651306,,,5099,0.018508896231651306
1.9999999949504854e-06,0.84375,3,0.13232706487178802,,,5119,0.13232706487178802
1.9999999949504854e-06,0.887499988079071,3,0.08704463392496109,,,5139,0.08704463392496109
1.9999999949504854e-06,0.8687499761581421,3,0.11230430752038956,,,5159,0.11230430752038956
1.9999999949504854e-06,0.956250011920929,3,0.0488763302564621,,,5179,0.0488763302564621
1.9999999949504854e-06,0.875,3,0.11269791424274445,,,5199,0.11269791424274445
1.9999999949504854e-06,0.8187500238418579,3,0.18067419528961182,,,5219,0.18067419528961182
1.9999999949504854e-06,0.90625,3,0.08882211148738861,,,5239,0.08882211148738861
1.9999999949504854e-06,0.862500011920929,3,0.12130454927682877,,,5259,0.12130454927682877
1.9999999949504854e-06,0.887499988079071,3,0.09306087344884872,,,5279,0.09306087344884872
1.9999999949504854e-06,0.856249988079071,3,0.12351679801940918,,,5299,0.12351679801940918
1.9999999949504854e-06,0.862500011920929,3,0.11942293494939804,,,5319,0.11942293494939804
1.9999999949504854e-06,0.956250011920929,3,0.04242634400725365,,,5339,0.04242634400725365
1.9999999949504854e-06,0.856249988079071,3,0.11646480858325958,,,5359,0.11646480858325958
1.9999999949504854e-06,0.9125000238418579,3,0.07231303304433823,,,5379,0.07231303304433823
1.9999999949504854e-06,0.8999999761581421,3,0.08261077105998993,,,5399,0.08261077105998993
1.9999999949504854e-06,0.8062499761581421,3,0.18615493178367615,,,5419,0.18615493178367615
1.9999999949504854e-06,0.9125000238418579,3,0.07080402225255966,,,5439,0.07080402225255966
1.9999999949504854e-06,0.84375,3,0.13476373255252838,,,5459,0.13476373255252838
1.9999999949504854e-06,0.949999988079071,3,0.04553040489554405,,,5479,0.04553040489554405
1.9999999949504854e-06,0.8187500238418579,3,0.16954156756401062,,,5499,0.16954156756401062
1.9999999949504854e-06,0.9437500238418579,3,0.04820936545729637,,,5519,0.04820936545729637
1.9999999949504854e-06,0.9375,3,0.05157214403152466,,,5539,0.05157214403152466
1.9999999949504854e-06,0.925000011920929,3,0.06521014124155045,,,5559,0.06521014124155045
1.9999999949504854e-06,0.8374999761581421,3,0.1482599824666977,,,5579,0.1482599824666977
1.9999999949504854e-06,0.9125000238418579,3,0.08102134615182877,,,5599,0.08102134615182877
1.9999999949504854e-06,0.9375,3,0.04827878996729851,,,5619,0.04827878996729851
1.9999999949504854e-06,0.925000011920929,3,0.053797245025634766,,,5639,0.053797245025634766
1.9999999949504854e-06,0.893750011920929,3,0.10216491669416428,,,5659,0.10216491669416428
1.9999999949504854e-06,0.90625,3,0.08279232680797577,,,5679,0.08279232680797577
1.9999999949504854e-06,0.925000011920929,3,0.06602742522954941,,,5699,0.06602742522954941
1.9999999949504854e-06,0.862500011920929,3,0.1186380386352539,,,5719,0.1186380386352539
1.9999999949504854e-06,0.875,3,0.09421219676733017,,,5739,0.09421219676733017
1.9999999949504854e-06,0.8374999761581421,3,0.13532279431819916,,,5759,0.13532279431819916
1.9999999949504854e-06,0.856249988079071,3,0.12017953395843506,,,5779,0.12017953395843506
1.9999999949504854e-06,0.9624999761581421,3,0.03144225850701332,,,5799,0.03144225850701332
1.9999999949504854e-06,0.8062499761581421,3,0.17345653474330902,,,5819,0.17345653474330902
1.9999999949504854e-06,0.875,3,0.1024349108338356,,,5839,0.1024349108338356
1.9999999949504854e-06,0.875,3,0.11793404072523117,,,5859,0.11793404072523117
1.9999999949504854e-06,0.918749988079071,3,0.061934154480695724,,,5879,0.061934154480695724
1.9999999949504854e-06,0.8812500238418579,3,0.10117246955633163,,,5899,0.10117246955633163
1.9999999949504854e-06,0.9437500238418579,3,0.04512862488627434,,,5919,0.04512862488627434
