run,version,tag,count,mean,std,min,max,last,last50_mean
random,version_42,effective_lambda_alias,2504,0.0485103840914781,0.006877668306181005,0.0003000000142492354,0.05000000074505806,0.05000000074505806,0.05000000074505806
random,version_42,loss_semantic_alias,2504,0.003026198902747225,0.007623051237272993,0.0017802463844418526,0.2990005314350128,0.0033939185086637735,0.002460218787943861
random,version_42,semantic_alias_candidate_pair_count,2504,9868.129392971246,548.3711277963037,182.0,9900.0,182.0,9868.127795527156
random,version_42,semantic_alias_candidate_pair_frac,2504,0.9999169084829644,0.00015095351921220733,0.9989899396896362,1.0,1.0,0.9999167470695873
random,version_42,semantic_alias_candidates_per_place,2504,98.71701171984688,4.8527931326544245,13.000000953674316,99.0,13.000000953674316,98.71699572371217
random,version_42,semantic_alias_hard_student_sim,2504,0.04761845211739452,0.016654864265037962,0.03238184005022049,0.4988563358783722,0.05029579624533653,0.043797585178916444
random,version_42,semantic_alias_margin_violation_frac,2504,0.0032667731345532992,0.05095524300066711,0.0,1.0,0.0,0.00023961660806268167
random,version_42,semantic_alias_random_control,2504,1.0,0.0,1.0,1.0,1.0,1.0
random,version_42,semantic_alias_reciprocal_frac,2504,0.5096998941569854,0.04946055430722783,0.3400000035762787,0.7142857313156128,0.4285714626312256,0.5097786253109907
random,version_42,semantic_alias_selected_clip_sim,2504,0.8432097563061851,0.013129859905907346,0.7932772636413574,0.880633533000946,0.8485710024833679,0.843244199888013
random,version_42,semantic_alias_selected_geo_distance_m,2504,47676.259386641526,287437.9797960346,1404.990234375,3902587.5,4888.84130859375,47646.035327460435
random,version_42,semantic_alias_shuffled_control,2504,0.0,0.0,0.0,0.0,0.0,0.0
random,version_42,semantic_alias_unique_pair_count,2504,74.31629392971246,4.3829056918192615,9.0,83.0,11.0,74.30990415335464
random,version_42,semantic_alias_valid_pair_count,2504,99.72523961661342,4.853236003221692,14.0,100.0,14.0,99.72523961661342
random,version_42,semantic_alias_valid_place_frac,2504,1.0,0.0,1.0,1.0,1.0,1.0
shuffled,version_43,effective_lambda_alias,2504,0.0485103840914781,0.006877668306181005,0.0003000000142492354,0.05000000074505806,0.05000000074505806,0.05000000074505806
shuffled,version_43,loss_semantic_alias,2504,0.0030168682636586004,0.007692562207706214,0.0015114613343030214,0.30175140500068665,0.0015114613343030214,0.002458592736479877
shuffled,version_43,semantic_alias_candidate_pair_count,2504,9868.129392971246,548.3711277963037,182.0,9900.0,182.0,9868.127795527156
shuffled,version_43,semantic_alias_candidate_pair_frac,2504,0.9999169084829644,0.00015095351921220733,0.9989899396896362,1.0,1.0,0.9999167470695873
shuffled,version_43,semantic_alias_candidates_per_place,2504,98.71701171984688,4.8527931326544245,13.000000953674316,99.0,13.000000953674316,98.71699572371217
shuffled,version_43,semantic_alias_hard_student_sim,2504,0.04756165280961952,0.01666295894963995,0.02249142713844776,0.5016154646873474,0.02249142713844776,0.04374985829049263
shuffled,version_43,semantic_alias_margin_violation_frac,2504,0.0032348242490150675,0.051155177347562544,0.0,1.0,0.0,0.00039137379316904675
shuffled,version_43,semantic_alias_random_control,2504,0.0,0.0,0.0,0.0,0.0,0.0
shuffled,version_43,semantic_alias_reciprocal_frac,2504,0.34050546823956146,0.05472296691552263,0.1428571492433548,0.5714285969734192,0.5714285969734192,0.3395892200640406
shuffled,version_43,semantic_alias_selected_clip_sim,2504,0.8431971642060783,0.013198937135422101,0.7794322967529297,0.8810404539108276,0.838381826877594,0.8431677795922794
shuffled,version_43,semantic_alias_selected_geo_distance_m,2504,46974.67909235848,284037.7380069956,1484.2611083984375,3534176.5,5358.14208984375,46599.43760003526
shuffled,version_43,semantic_alias_shuffled_control,2504,1.0,0.0,1.0,1.0,1.0,1.0
shuffled,version_43,semantic_alias_unique_pair_count,2504,82.75638977635782,4.869847476289539,10.0,91.0,10.0,82.78993610223642
shuffled,version_43,semantic_alias_valid_pair_count,2504,99.72523961661342,4.853236003221692,14.0,100.0,14.0,99.72523961661342
shuffled,version_43,semantic_alias_valid_place_frac,2504,1.0,0.0,1.0,1.0,1.0,1.0
clip,version_45,effective_lambda_alias,2504,0.0485103840914781,0.006877668306181005,0.0003000000142492354,0.05000000074505806,0.05000000074505806,0.05000000074505806
clip,version_45,loss_semantic_alias,2504,0.006383409029889715,0.007960051889091359,0.002503738971427083,0.30642420053482056,0.0030350026208907366,0.005410391984272379
clip,version_45,semantic_alias_candidate_pair_count,2504,9868.129392971246,548.3711277963037,182.0,9900.0,182.0,9868.127795527156
clip,version_45,semantic_alias_candidate_pair_frac,2504,0.9999169084829644,0.00015095351921220733,0.9989899396896362,1.0,1.0,0.9999167470695873
clip,version_45,semantic_alias_candidates_per_place,2504,98.71701171984688,4.8527931326544245,13.000000953674316,99.0,13.000000953674316,98.71699572371217
clip,version_45,semantic_alias_hard_student_sim,2504,0.07922862448131505,0.017558132722707124,0.04474279657006264,0.5062985420227051,0.052600402384996414,0.07332563566002316
clip,version_45,semantic_alias_margin_violation_frac,2504,0.016044043454552848,0.054182687294333974,0.0,1.0,0.0,0.010560246196370155
clip,version_45,semantic_alias_random_control,2504,0.0,0.0,0.0,0.0,0.0,0.0
clip,version_45,semantic_alias_reciprocal_frac,2504,0.3400901327736842,0.05467558127573512,0.1428571492433548,0.5714285969734192,0.5714285969734192,0.33891829351980846
clip,version_45,semantic_alias_selected_clip_sim,2504,0.9277943899741949,0.0051011556419519955,0.8915141224861145,0.9420212507247925,0.895348846912384,0.9278205663156205
clip,version_45,semantic_alias_selected_geo_distance_m,2504,6629.806676553842,20474.512102640005,1044.1995849609375,314556.25,4361.19677734375,6652.543450108732
clip,version_45,semantic_alias_shuffled_control,2504,0.0,0.0,0.0,0.0,0.0,0.0
clip,version_45,semantic_alias_unique_pair_count,2504,82.77715654952077,4.8694479055848525,10.0,91.0,10.0,82.82348242811501
clip,version_45,semantic_alias_valid_pair_count,2504,99.72523961661342,4.853236003221692,14.0,100.0,14.0,99.72523961661342
clip,version_45,semantic_alias_valid_place_frac,2504,1.0,0.0,1.0,1.0,1.0,1.0
